epoch,accuracy,loss,val_accuracy,val_loss
0,0.5742093,0.6735082200553876,0.81463414,0.6482005885669163
1,0.68126523,0.6241787193465407,0.6439024,0.6040449483054025
2,0.7019465,0.5855055280265437,0.49268293,0.6893458025796073
3,0.73357666,0.5404751804043196,0.9170732,0.46557043705667767
4,0.79562044,0.4988887217213058,0.902439,0.4078039526939392
